id	artifact_path	sha256	notes
_include/refs/asylum	knowledge/data/hwd/items/_include-refs-asylum	b6a4e57d3d4dcf9f9117a205773f32c17ad8c6607a3b76917dbe0e01c4d9b383	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/github-survey-2017-fig1	knowledge/data/hwd/items/_static-github-survey-2017-fig1	e519d7b10844ef090edd3108814c7e507cef34693561b432085e60ca9176695c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/templates/product/library/php/README	knowledge/data/hwd/items/_static-templates-product-library-php-readme/README	bba9e4532a42b5b891d6f968b9be63877eaaa70e6c2359d6c74c93f79f354ff5	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/templates/product/library/php/README	knowledge/data/hwd/items/_static-templates-product-library-php-readme	734d3ae852be6ac6d4bd8852bf0e87b4e076fd275cbd208ade5e30f5e9999cbf	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/index	knowledge/data/hwd/items/appendix-index	08d51ca6e2c56f67561a4e74a3408f5d911c8606becf4d45d2fbf4fbe47c2082	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/index	knowledge/data/hwd/items/appendix-quick-solution-index	bfd9abf0d34019535f49aed785971b0bb128566e1ece2f38c235fd680cda25e6	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/process/index	knowledge/data/hwd/items/appendix-quick-solution-process-index	10e101fafc227b5840f09f49ca742472ad3481d0667c25215a6d9194c1fb14e4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/index	knowledge/data/hwd/items/appendix-quick-solution-product-application-index	937b03e0be1affb7f44d6bbbb431a90f94cfd9ab6960c832fcfacf9065af8290	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/organization/index	knowledge/data/hwd/items/appendix-quick-solution-product-application-organization-index	feebd2d6853bcc80de2cad30658f5db768ef1916ac00c1b68bc27ed063b42c34	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/organization/source	knowledge/data/hwd/items/appendix-quick-solution-product-application-organization-source	01d215c55bdc73ec1c117a7b1a7592d2dac9dc843bb353edecf1bc97b4d7029f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/outer-developers/api	knowledge/data/hwd/items/appendix-quick-solution-product-application-outer-developers-api	6f08b613421799881168adf5609376bf7c36bca5aeaf48315ecaa0dd629574fb	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/outer-developers/index	knowledge/data/hwd/items/appendix-quick-solution-product-application-outer-developers-index	660ff757e61cd25488ab8e692f23115f823b6e2659bba2d6accdb0d3f4e431f9	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/product-developers/architecture	knowledge/data/hwd/items/appendix-quick-solution-product-application-product-developers-architecture	b013ab3d94a1563ee8d245c107e3ceb01dca952fcf562cc0c33f603de91be706	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/product-developers/functions	knowledge/data/hwd/items/appendix-quick-solution-product-application-product-developers-functions	c411146b0c754aedf8d7875efd7f256297aff59edb30e539627ce68ff6b2ece3	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/product-developers/index	knowledge/data/hwd/items/appendix-quick-solution-product-application-product-developers-index	dacc7d16bea8285c14e16fbc5a3bbe381a8fa0ba708dbc08546312d7fbde0f37	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/component/index	knowledge/data/hwd/items/appendix-quick-solution-product-component-index	6e8b0ebbb8b3e48de9a94160bc3b103cb7d8bf6639905500d7765191536ad711	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/component/library/api	knowledge/data/hwd/items/appendix-quick-solution-product-component-library-api	7dfd326eb7d367b570d922dea87406e31da62c4e7c89d175126400085b83f6c4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/component/library/index	knowledge/data/hwd/items/appendix-quick-solution-product-component-library-index	1004acf3a2df0ed046de772a713df4dae61b262cb09dacf7d5cef02feba0b607	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/component/library/intro	knowledge/data/hwd/items/appendix-quick-solution-product-component-library-intro	7c7fcade0da22da5a0139ae1d2bdd3aaa9ccddc0e88c91df97912b3e2b8e4fc2	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/dev-tool/index	knowledge/data/hwd/items/appendix-quick-solution-product-dev-tool-index	6cdaa89831f4f3e876ad5489f923d04677698c0eaa3c0cfba013997795edf0a5	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/index	knowledge/data/hwd/items/appendix-quick-solution-product-index	cac639068bc91df1b9bd44577a81da0dd56a68c866b8aa4d141db61fdf27b764	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/templates/index	knowledge/data/hwd/items/appendix-templates-index	45e941cd01d0d0428e2607abde9c2edb7fa103b609d5186c6f94dc5227036ee4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/templates/product/index	knowledge/data/hwd/items/appendix-templates-product-index	8e05a90fc70764dc79a1c6fe5acbf95a4793c261a98d2e9d63094011d1440971	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/templates/product/library/index	knowledge/data/hwd/items/appendix-templates-product-library-index	72ec2b0a4a1ca058d0609e59fe26f909e126d9f5df85da2dc959e591860ba72f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/templates/product/library/php/index	knowledge/data/hwd/items/appendix-templates-product-library-php-index	0e24879dc656de2abf9d24217fb5e45c5e2b6d0c75a97bfd0c71f4d223c1321d	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/templates/product/library/php/readme	knowledge/data/hwd/items/appendix-templates-product-library-php-readme	16bd13b780223328017dcf2b3411a810dc9f2c7169ea5bdbf2f6ca6303c6c81e	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/examples	knowledge/data/hwd/items/guides-examples	d39c04421baefe7279de5d1f542f3bff8659ab4fe7ef1416646aa07f6e035f37	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/findability	knowledge/data/hwd/items/guides-findability	504b9f73b48fa2088f36cf273baac73d4b558851869d6e9502bcd9483f1b0c3f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/format	knowledge/data/hwd/items/guides-format	a21e99b24df5f0733b4d38cc361f3c1e77ca4da20b5242e2c43a5fc79d1cef75	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/guide/index	knowledge/data/hwd/items/guides-guide-index	f5fae379374b4a54d4059a39db613e056d6e6a9d15cabaad63d5ac0b535a9f72	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/index	knowledge/data/hwd/items/guides-index	daaf5ec670f769d6d592dfec13771ccf423dd83025e5fdf31a38fbf2a0091624	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/intro/article	knowledge/data/hwd/items/guides-intro-article	57a95624f7766d546d1e430afbecef03894823565efe49f0b0e849568045b665	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/intro/index	knowledge/data/hwd/items/guides-intro-index	412d4dfc4e0fadb1a2bc97273a52aa0a45dcef0cc2e538f5bdcb7c16b8ee650d	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/intro/section	knowledge/data/hwd/items/guides-intro-section	307044f0d42b019ee0bc012acce34797ee8befb75ac9144d92f543e311bcf57c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/links	knowledge/data/hwd/items/guides-links	475cb18654b0a0d592ecc098ca211ef26dc3e96b2860ada9bc7854fe03132ca6	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/location	knowledge/data/hwd/items/guides-location	4ee1fce721f48e77e25ffaeef0868c2d02e1e95094922836924f2a627c3b0894	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/product/api	knowledge/data/hwd/items/guides-product-api	a67b27dfbf5f69f970547e8a2002f46e32bde351045da8512ea2a48935b28899	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/product/architecture	knowledge/data/hwd/items/guides-product-architecture	a31f79bd2802763b88b0281cac515598fa3b8eaeb138dd829fb22faf4fe43180	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/product/functions	knowledge/data/hwd/items/guides-product-functions	8b85a22f129a6bd66d58b09f65c402e58ca21460577ec7e9a6db6f0f028dcebc	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/product/index	knowledge/data/hwd/items/guides-product-index	b225904aacd11d8419a808c7dee97282d4277dfedb6748106a4fd16347e4baae	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/readers/external	knowledge/data/hwd/items/guides-readers-external	78044b9faf99032cfec358a03dd1cfa79fbeee24b1a5085c687f7c5c2f42ca2e	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/readers/index	knowledge/data/hwd/items/guides-readers-index	3c6d377e29cad414de43058cd54355e46a025302cf746facf0d27ca145118fa0	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/readers/internal	knowledge/data/hwd/items/guides-readers-internal	0480d3f450152b50dc1a12e2ba9fddbb29d034806ccd129df53d84a858165438	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/readers	knowledge/data/hwd/items/guides-readers	3258b583967413858613b3d1b4b4d343a53fcf6652588e661d5730fa07036bf4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/startup	knowledge/data/hwd/items/guides-startup	ed15b02caa2a2684ac4c1f7aad007e3c5d0c9831c28247e140869f1c28cb9993	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
guides/structure	knowledge/data/hwd/items/guides-structure	db9c2a87bce7ccd74e0806723a02d982a5ac56f348ef0d177b10cea4986a9fbb	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
index	knowledge/data/hwd/items/index	f4868c7b926a07a45282da1e8fa1a762a1fa51d2100eab81037940298b45a705	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
intro	knowledge/data/hwd/items/intro	4cf53e1ec72ee3d71d021179053b54dedadecaaf72ed3396c4bc93be3d7f2774	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
legal	knowledge/data/hwd/items/legal	be046448cfe51ca25b0cd3d77af28e0bedaebf47e4c7ddedea5b97b91c8a4f7e	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/articles/glossary	knowledge/data/hwd/items/references-articles-glossary	6d47aea99203e78b0c77c796e04597b0a10d594ca21ab799923b85d6f79d08ed	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/articles/index	knowledge/data/hwd/items/references-articles-index	ae41ab34bb92b4ddeef3b6879e9e051d2e6251296dc627aa75a1f7d5e54e4653	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/articles/intro	knowledge/data/hwd/items/references-articles-intro	6bbc684045c0bf09ef6b33aff27cac3732018964138e819ceb47c6c10265f24a	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/articles/readme/index	knowledge/data/hwd/items/references-articles-readme-index	e1e27f895a4e9fb6ca76c7ce0ac90f43196c06aecfdd3374b2e78477ab25004a	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/articles/readme/library	knowledge/data/hwd/items/references-articles-readme-library	f35ac3d4af915ea379082c399b43d3032d5696347648d82ace9ecfa5c6aadb5b	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/component/PHP	knowledge/data/hwd/items/references-formats-api-component-php/PHP.rst	849e80e1e9a8067aa07ffdd3163380ea4cc8a32046c82e77c81f257f18ed9fca	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/component/index	knowledge/data/hwd/items/references-formats-api-component-index	2be1d948112ecffecda55bd765303c213cd4d4db31f9bca46b9904a1ec1a209c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/index	knowledge/data/hwd/items/references-formats-api-index	641e4332f9cf5bdb8f8cca5966171677c52aeb18c38c3b30fe6358acb14fbe6e	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/remote/AsyncAPI	knowledge/data/hwd/items/references-formats-api-remote-asyncapi/AsyncAPI.rst	9398ae5b799bcfc3dd0d508537eedc2575804992c52cd11b74a5bfeeebd1dde5	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/remote/OpenAPI	knowledge/data/hwd/items/references-formats-api-remote-openapi/OpenAPI.rst	0b7f4684e515ec87a14f139e87dc4617748fe6e15e7e577df1d0c4fce1c2ab0b	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/api/remote/index	knowledge/data/hwd/items/references-formats-api-remote-index	c2983548b1b69fd9cd481337b6e76192614db0af63be5e231ffbb6aa195753b2	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/HTML	knowledge/data/hwd/items/references-formats-common-html/HTML.rst	0d77a8664f8fbd21c27882f0e445a6066660620de8fb9eaba1a794fbfc5be637	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/Markdown	knowledge/data/hwd/items/references-formats-common-markdown/Markdown.rst	4c632ebe9d3dad8adccca7c63fd46d95f9061b3033aabdf49b20098c32891879	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/PDF	knowledge/data/hwd/items/references-formats-common-pdf/PDF.rst	2c5cb087495d7f159e9d6d263cbd7e9a137d66e0a19cd3ce72004f1ac343f54b	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/ReStructuredText	knowledge/data/hwd/items/references-formats-common-restructuredtext/ReStructuredText.rst	705d9366fa43ac2e9d4210544acd6196c986d1bdc1752758a98f3348eea4f002	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/index	knowledge/data/hwd/items/references-formats-common-index	2d9ea2ef41413924c26a70898575a32ddf38e28554304da1875c98bf731a433a	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/common/txt	knowledge/data/hwd/items/references-formats-common-txt	ba6aa07331b396a707b73010dc4772c58b02a8724fe430aea36da8443f0bc7f2	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/formats/index	knowledge/data/hwd/items/references-formats-index	f964880b3bcb44f9c1ce3b3c3d1f6e046a5bef0590792df8c6ce03c782cd5ba9	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/glossary	knowledge/data/hwd/items/references-glossary	2406abc840089644952790861b187dcee07614726541592170825fd1ae7518b2	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/index	knowledge/data/hwd/items/references-index	f9253bd105abe7c7223f395a3e3a30bf79f770d2b61b024c6675693f3e316374	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/kb/AtlassianConfluence	knowledge/data/hwd/items/references-kb-atlassianconfluence/AtlassianConfluence.rst	2b9e468b97ee9271ea1ff88d26ebe317930ddc9854a6d9c1803c88b89c18b5c5	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/kb/DokuWiki	knowledge/data/hwd/items/references-kb-dokuwiki/DokuWiki.rst	27845944a7e18a461bdf4f6ba69a14e36c64116a9e3f0bc2930f28580074fef3	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/kb/index	knowledge/data/hwd/items/references-kb-index	9cfe98be54d1e24a947116371aa6c15137cacb0d640b6ac386f6aa047a675871	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/links	knowledge/data/hwd/items/references-links	922b678d97e0822c333cad48fbfe5ff01ebf127e8f469d251c8ad11ee32d8ebe	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/index	knowledge/data/hwd/items/references-locations-index	02d967644ff5183685218d83cc2a76dcb076519877525b18f1f3e86431240801	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/kb	knowledge/data/hwd/items/references-locations-kb	1f3af4b6df3acb26559c81a0208e39e22d868e5f3c35686f935d698743f47765	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/network-folder	knowledge/data/hwd/items/references-locations-network-folder	1001dc6bd69b63cb184d34cd44e7c3591252fe3c91c2852f8dd071d44176f6f6	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/source	knowledge/data/hwd/items/references-locations-source	b70780b41bd2e63dd5249529a1f9b77efa95a749d181537412db2cd6b114f319	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/vcs	knowledge/data/hwd/items/references-locations-vcs	36a26b2daa2d2e9e8a9b237c6c02b3c81e56744022a19164a7a478ff69e89715	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/locations/web	knowledge/data/hwd/items/references-locations-web	b3313418de373293833490b1907bf57dbb95d75afe69d8db5debe30f774b0f26	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/packages/index	knowledge/data/hwd/items/references-packages-index	6595d8b03dc6c497e218cf6332583e3b9a89ffe13a92249c1fcdd97a5805e238	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/packages/library	knowledge/data/hwd/items/references-packages-library	d3a80ff379b0ffa29d6ed0718ea6d3b7a6d93502de9bf9a9b182f5ba22c86bcc	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/developers	knowledge/data/hwd/items/references-readers-developers	c293b9aa57c96f1e582f5f28b2ede253f4bfc80def715e70894268115c6bf098	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/external	knowledge/data/hwd/items/references-readers-external	013bc23c1efd5f91195aa89e9464337a96f2bab8931327d59aa9497a626d28d8	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/index	knowledge/data/hwd/items/references-readers-index	b2cd4fe95620adb4b3ff83ea6a906e18c3c70323dfefb9a0a9a12b0ec9d2cded	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/internal	knowledge/data/hwd/items/references-readers-internal	fdceb8ba425ca465258c006f7ecb409c90d19def0d7a20fd490ea2d3d3322401	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/product-developers	knowledge/data/hwd/items/references-readers-product-developers	fb791c52389c37a807ed51a16b83a0cf35ebd4e3cddc2b5d5b0b668ebe188eb2	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/readers/users	knowledge/data/hwd/items/references-readers-users	dd6caa281bd75711a818354d7334dcc4c664fa1effeb4cc4522385488f64b567	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/appendix	knowledge/data/hwd/items/references-sections-appendix	f07d62fba80bfaf5f3adae359996e170b081975d0e8230555261e90a4a31c64c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/index	knowledge/data/hwd/items/references-sections-index	bafc31cfea06222767395ce91ec0cdb808b20ada3057a1f85e61054ebe97c22c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/installation	knowledge/data/hwd/items/references-sections-installation	e14869ab884b2eca3dbb4502a79da8c087976f4b523d3250d8fb9173d7bf8fea	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/intro	knowledge/data/hwd/items/references-sections-intro	9eaf1b76385f79c49c9c7790b43741da5ffd372e93cbc32c3a174b29da3eb1fe	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/see_also	knowledge/data/hwd/items/references-sections-see_also	73776552129013251ca6db6ffc382ccf129bb901bb6a2002acc9d5acb7902f6f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/toc	knowledge/data/hwd/items/references-sections-toc	cc19b89c7924a3484dc84d1639f11565bd0254b8be7ce05c90ccfed98209aa81	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/sections/usage	knowledge/data/hwd/items/references-sections-usage	609bd00c75beb8850d07fdef0b0f7908c28bafbd614f6082c4d2d20ca284e789	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/structure/article	knowledge/data/hwd/items/references-structure-article	e71fbd793a3725dc9a3b3af851a6e1273975853cddae46b208e9ffbcbe147cdc	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/structure/documentation	knowledge/data/hwd/items/references-structure-documentation	81a15456160f4dfab09c7aef5149e203303527e00606b43ab6bb3b9e8afbddf4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/structure/index	knowledge/data/hwd/items/references-structure-index	91f5ad10cc6ea17e501927500dd91cf445169735d1abb53ebc049713e15ea20f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/tools/index	knowledge/data/hwd/items/references-tools-index	bc3c669606603cadca94c35a5ccf199aab5d734a7d97bc20346758cb5227fc43	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/tools/sphinx	knowledge/data/hwd/items/references-tools-sphinx	ff701e791033f9ef5ab0710b5c82defd21a6f142987ee024c952cbd1a354f821	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/functions	knowledge/data/hwd/items/references-types-functions	2ba1e249cf8578de3b37fcba38361a5f0bd7265d32242502ac1d952cb17af93c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/guide	knowledge/data/hwd/items/references-types-guide	be2b59afb6b9dc37c241f9c8a546c521c3d2e5563360e248c79deabe1e469d7b	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/index	knowledge/data/hwd/items/references-types-index	76dc48a0c228163e471c65d78a8f683aa587476d87b8872f590ad5c2f0bc9ce0	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/reference	knowledge/data/hwd/items/references-types-reference	c02599362c149d13a521455a67dc12178984a7d0f053ffd50639c3886138a4c1	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/reqspec	knowledge/data/hwd/items/references-types-reqspec	d9206b8f730acac40c31fc195734636bef80e32a3a0c9c4cd14245b76fd8c828	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
references/types/rules	knowledge/data/hwd/items/references-types-rules	416a4cc7f05b8dfc45df5be49c032463cfb5c769bdee752a8d14863ebff38f7a	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
resources	knowledge/data/hwd/items/resources	3af333695c337e50a972481302208cae43910619579bb626b399cbbe759c0fcd	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
theory/goal	knowledge/data/hwd/items/theory-goal	9337bf5aa76a46bcb36a651406186b748e92ed7def2e2d8ff86fca479f6abba7	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
theory/how-people-read	knowledge/data/hwd/items/theory-how-people-read	9ba6fbe0f5532b5b086567649e5d8db6ea9d544542d77994aeb5051415644198	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
theory/index	knowledge/data/hwd/items/theory-index	c25f69edaa457b385ac3de0ffa5ef29c71279d662f7b83795d702bb35f51ff53	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
theory/principles	knowledge/data/hwd/items/theory-principles	ba586dfc36b6cd312de01469a1c1f2459084265cd58eb5a949726045be2b8a2b	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
theory/why	knowledge/data/hwd/items/theory-why	5c3f9359e84684ccc611a460f6025b00ae3112c3c9af60c604cac8af0f9dfae8	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
